"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2482","TC09 - Invalid pass shows error","chromium","2026-03-31","passed","2026-03-31","Login Tests (POM)","login.spec.js","",""
"","4965","TC09 - Time dropdown visible","firefox","2026-03-31","passed","2026-03-31","","details.spec.js","",""
"","5040","TC08 - Consultation fee visible","chromium","2026-03-31","passed","2026-03-31","","details.spec.js","",""
"","8237","TC14 - Navigate to profile page","webkit","2026-03-31","passed","2026-03-31","","dashboard.spec.js","",""
"","4051","TC06 - Navigate to Find Doctor","chromium","2026-03-31","passed","2026-03-31","","dashboard.spec.js","",""
"","23008","TC01 - Valid Registration","webkit","2026-03-31","passed","2026-03-31","","register.spec.js","",""
"","8019","Sort fee ascending","webkit","2026-03-31","passed","2026-03-31","","search.spec.js","",""
"","5017","TC01 - Dashboard loads successfully","firefox","2026-03-31","failed","2026-03-31","","dashboard.spec.js","",""
"","10683","Sort by experience","firefox","2026-03-31","failed","2026-03-31","","search.spec.js","",""
"","30299","09 testing withput deetails","firefox","2026-04-01","broken","2026-04-01","","payment.spec.js","",""
"","10139","TC08 - Empty cart message","firefox","2026-03-31","failed","2026-03-31","","dashboard.spec.js","",""
"","3825","API payment processing with invalid booking ID shows error","webkit","2026-03-31","passed","2026-03-31","","payment-api.spec.js","",""
"","7575","test4","webkit","2026-03-31","passed","2026-03-31","","cart.spec.js","",""
"","9384","TC03 - Specialty visible","webkit","2026-03-31","passed","2026-03-31","","details.spec.js","",""
"","8681","test7","webkit","2026-03-31","passed","2026-03-31","","cart.spec.js","",""
"","323","API booking history retrieval without authentication shows error","chromium","2026-03-31","passed","2026-03-31","","payment-api.spec.js","",""
"","5782","Filter Orthopedics","firefox","2026-03-31","passed","2026-03-31","","search.spec.js","",""
"","5835","TC05 - Availability visible","chromium","2026-03-31","passed","2026-03-31","","details.spec.js","",""
"","30054","payment processing test through debit card","chromium","2026-04-01","broken","2026-04-01","","payment.spec.js","",""
"","3382","TC05 - Total spent visible","firefox","2026-03-31","passed","2026-03-31","","dashboard.spec.js","",""
"","13462","test02-adding a cart","webkit","2026-03-31","passed","2026-03-31","","cart.spec.js","",""
"","2015","TC13 - Phone validation","firefox","2026-03-31","passed","2026-03-31","","register.spec.js","",""
"","3993","test5","firefox","2026-03-31","passed","2026-03-31","","profile.spec.js","",""
"","3868","TC14 - Navigate to profile page","firefox","2026-03-31","passed","2026-03-31","","dashboard.spec.js","",""
"","7381","test03- check the heading of the Your Appointments Cart","webkit","2026-03-31","passed","2026-03-31","","cart.spec.js","",""
"","21617","TC15 - Edit full name field","firefox","2026-03-31","passed","2026-03-31","","dashboard.spec.js","",""
"","4534","TC15 - Navigate to Login","firefox","2026-03-31","passed","2026-03-31","","register.spec.js","",""
"","30065","payment processing test through debit card1","webkit","2026-04-01","broken","2026-04-01","","payment.spec.js","",""
"","3048","TC05 - Password Case Sensitive","webkit","2026-03-31","passed","2026-03-31","Login Tests (POM)","login.spec.js","",""
"","2453","TC06 - Email Case Sensitivity","firefox","2026-03-31","passed","2026-03-31","Login Tests (POM)","login.spec.js","",""
"","2488","TC01 - Invalid Login","chromium","2026-03-31","passed","2026-03-31","Login Tests (POM)","login.spec.js","",""
"","3773","TC09 - Navigate back to Dashboard","chromium","2026-03-31","failed","2026-03-31","","dashboard.spec.js","",""
"","11240","Sort by experience","webkit","2026-03-31","failed","2026-03-31","","search.spec.js","",""
"","4871","test4","chromium","2026-03-31","passed","2026-03-31","","profile.spec.js","",""
"","30060","test","chromium","2026-04-01","broken","2026-04-01","","payment.spec.js","",""
"","5237","TC13 - Booking confirmation visible","firefox","2026-03-31","passed","2026-03-31","","dashboard.spec.js","",""
"","3856","test4","chromium","2026-03-31","passed","2026-03-31","","cart.spec.js","",""
"","6562","TC07 - Expertise section visible","chromium","2026-03-31","passed","2026-03-31","","details.spec.js","",""
"","2536","TC05 - Password Case Sensitive","firefox","2026-03-31","passed","2026-03-31","Login Tests (POM)","login.spec.js","",""
"","30381","test8","chromium","2026-03-31","broken","2026-03-31","","cart.spec.js","",""
"","1972","TC03 - Invalid Email","chromium","2026-03-31","passed","2026-03-31","Login Tests (POM)","login.spec.js","",""
"","30086","Search doctor name","firefox","2026-03-31","broken","2026-03-31","","search.spec.js","",""
"","4269","TC16 - Enter DOB","chromium","2026-03-31","passed","2026-03-31","","dashboard.spec.js","",""
"","2619","TC06 - Invalid Phone Number","firefox","2026-03-31","passed","2026-03-31","","register.spec.js","",""
"","1114","get started link","webkit","2026-03-31","passed","2026-03-31","","example.spec.js","",""
"","12768","test5","chromium","2026-04-01","passed","2026-04-01","","payment.spec.js","",""
"","5841","TC16 - Invalid flow (no date select)","firefox","2026-03-31","passed","2026-03-31","","details.spec.js","",""
"","30082","06 testing invalid debita card deetails","webkit","2026-04-01","broken","2026-04-01","","payment.spec.js","",""
"","2326","TC02 - Empty Form","firefox","2026-03-31","passed","2026-03-31","","register.spec.js","",""
"","583","has title","chromium","2026-03-31","passed","2026-03-31","","example.spec.js","",""
"","2341","TC06 - Email Case Sensitivity","chromium","2026-03-31","passed","2026-03-31","Login Tests (POM)","login.spec.js","",""
"","9203","TC12 - View appointment details","webkit","2026-03-31","passed","2026-03-31","","dashboard.spec.js","",""
"","30055","08 testing invalid card expired deetails","chromium","2026-04-01","broken","2026-04-01","","payment.spec.js","",""
"","30153","payment processing test through debit card","firefox","2026-04-01","broken","2026-04-01","","payment.spec.js","",""
"","314","API booking creation without authentication shows error","firefox","2026-03-31","passed","2026-03-31","","payment-api.spec.js","",""
"","12955","TC13 - Add to cart button visible","webkit","2026-03-31","passed","2026-03-31","","details.spec.js","",""
"","16980","Sort fee descending","chromium","2026-03-31","passed","2026-03-31","","search.spec.js","",""
"","8815","TC07 - Open Cart page","webkit","2026-03-31","passed","2026-03-31","","dashboard.spec.js","",""
